model_name,output_tokens,layer_strategy,q_bits,vram_consumption,inference_time
meta-llama/Llama-2-7b-chat-hf,100,zero,NA,110,7.174196004867554
meta-llama/Llama-2-7b-chat-hf,1000,zero,NA,566,23.90505838394165
meta-llama/Llama-2-7b-chat-hf,2000,zero,NA,1074,43.814138889312744
meta-llama/Llama-2-7b-chat-hf,4000,zero,NA,2089,87.8574161529541
meta-llama/Llama-2-7b-chat-hf,10000,zero,NA,5136,268.4210729598999
meta-llama/Llama-2-7b-chat-hf,20000,zero,NA,10278,719.8429186344147
meta-llama/Llama-2-7b-chat-hf,100,1/4,2,92,8.397350788116455
meta-llama/Llama-2-7b-chat-hf,1000,1/4,2,480,30.425317525863647
meta-llama/Llama-2-7b-chat-hf,2000,1/4,2,900,56.807185649871826
meta-llama/Llama-2-7b-chat-hf,4000,1/4,2,1750,113.28966975212097
meta-llama/Llama-2-7b-chat-hf,10000,1/4,2,4303,398.44455766677856
meta-llama/Llama-2-7b-chat-hf,20000,1/4,2,NA,NA
meta-llama/Llama-2-7b-chat-hf,100,1/4,4,95,8.644723176956177
meta-llama/Llama-2-7b-chat-hf,1000,1/4,4,503,30.17710566520691
meta-llama/Llama-2-7b-chat-hf,2000,1/4,4,932,54.5423367023468
meta-llama/Llama-2-7b-chat-hf,4000,1/4,4,1814,111.77068781852722
meta-llama/Llama-2-7b-chat-hf,10000,1/4,4,4458,399.73854184150696
meta-llama/Llama-2-7b-chat-hf,20000,1/4,4,NA,NA
meta-llama/Llama-2-7b-chat-hf,100,1/2,2,71,8.795890092849731
meta-llama/Llama-2-7b-chat-hf,1000,1/2,2,369,36.404794216156006
meta-llama/Llama-2-7b-chat-hf,2000,1/2,2,676,69.54720497131348
meta-llama/Llama-2-7b-chat-hf,4000,1/2,2,1313,136.04070210456848
meta-llama/Llama-2-7b-chat-hf,10000,1/2,2,3237,527.3031742572784
meta-llama/Llama-2-7b-chat-hf,20000,1/2,2,NA,NA
meta-llama/Llama-2-7b-chat-hf,100,1/2,4,77,8.70904016494751
meta-llama/Llama-2-7b-chat-hf,1000,1/2,4,411,35.57143211364746
meta-llama/Llama-2-7b-chat-hf,2000,1/2,4,742,65.17041873931885
meta-llama/Llama-2-7b-chat-hf,4000,1/2,4,1441,136.45321607589722
meta-llama/Llama-2-7b-chat-hf,10000,1/2,4,3542,527.6455373764038
meta-llama/Llama-2-7b-chat-hf,20000,1/2,4,NA,NA
meta-llama/Llama-2-7b-chat-hf,100,3/4,2,50,9.445451259613037
meta-llama/Llama-2-7b-chat-hf,1000,3/4,2,253,42.41204333305359
meta-llama/Llama-2-7b-chat-hf,2000,3/4,2,453,83.12345886230469
meta-llama/Llama-2-7b-chat-hf,4000,3/4,2,877,160.57739281654358
meta-llama/Llama-2-7b-chat-hf,10000,3/4,2,2168,651.4895684719086
meta-llama/Llama-2-7b-chat-hf,20000,3/4,2,4298,2313.4538190364838
meta-llama/Llama-2-7b-chat-hf,100,3/4,4,59,9.241029739379883
meta-llama/Llama-2-7b-chat-hf,1000,3/4,4,306,40.43602705001831
meta-llama/Llama-2-7b-chat-hf,2000,3/4,4,551,76.39737915992737
meta-llama/Llama-2-7b-chat-hf,4000,3/4,4,1069,157.45433902740479
meta-llama/Llama-2-7b-chat-hf,10000,3/4,4,2625,652.0617523193359
meta-llama/Llama-2-7b-chat-hf,20000,3/4,4,5238,2378.803721666336
meta-llama/Llama-2-7b-chat-hf,100,all,2,34,10.132929801940918
meta-llama/Llama-2-7b-chat-hf,1000,all,2,128,49.778985023498535
meta-llama/Llama-2-7b-chat-hf,2000,all,2,230,90.78532695770264
meta-llama/Llama-2-7b-chat-hf,4000,all,2,441,189.77184224128723
meta-llama/Llama-2-7b-chat-hf,10000,all,2,1089,782.1840350627899
meta-llama/Llama-2-7b-chat-hf,20000,all,2,2151,2836.3888540267944
meta-llama/Llama-2-7b-chat-hf,100,all,4,41,10.044820785522461
meta-llama/Llama-2-7b-chat-hf,1000,all,4,199,47.44953155517578
meta-llama/Llama-2-7b-chat-hf,2000,all,4,361,90.29417848587036
meta-llama/Llama-2-7b-chat-hf,4000,all,4,697,179.4078073501587
meta-llama/Llama-2-7b-chat-hf,10000,all,4,1721,782.8121302127838
meta-llama/Llama-2-7b-chat-hf,20000,all,4,3410,2930.2649137973785
